"Date","Price","Open","High","Low","Change %"
"Jun 14, 2019","383.970","384.320","384.370","383.620","-0.05%"
"Jun 13, 2019","384.170","384.320","384.770","384.170","-0.04%"
"Jun 12, 2019","384.320","384.170","384.420","383.470","0.05%"
"Jun 11, 2019","384.120","383.620","384.170","383.120","0.16%"
"Jun 10, 2019","383.525","384.575","384.575","383.015","0.02%"
"Jun 07, 2019","383.450","384.550","385.210","383.450","-0.38%"
"Jun 06, 2019","384.900","384.500","385.260","384.500","0.05%"
"Jun 05, 2019","384.720","384.160","384.720","384.060","0.03%"
"Jun 04, 2019","384.600","384.400","384.960","383.960","0.14%"
"Jun 03, 2019","384.075","382.725","384.275","382.675","0.37%"
"May 31, 2019","382.675","381.115","382.775","381.115","0.23%"
"May 30, 2019","381.800","382.100","382.240","381.000","-0.04%"
"May 29, 2019","381.955","380.415","381.955","380.415","0.34%"
"May 28, 2019","380.650","380.350","381.060","380.210","0.25%"
"May 27, 2019","379.700","379.810","380.460","379.460","0.03%"
"May 24, 2019","379.600","378.500","380.110","378.500","0.26%"
"May 23, 2019","378.600","378.960","379.600","377.360","-0.07%"
"May 22, 2019","378.870","379.510","379.770","378.210","-0.22%"
"May 21, 2019","379.700","379.200","380.160","378.960","0.24%"
"May 20, 2019","378.800","379.460","380.560","378.800","-0.21%"
"May 17, 2019","379.600","378.900","380.510","378.900","0.24%"
"May 16, 2019","378.700","379.800","379.960","378.560","-0.22%"
"May 15, 2019","379.550","380.350","380.350","379.360","-0.21%"
"May 14, 2019","380.350","379.650","380.350","379.650","0.22%"
"May 13, 2019","379.500","380.660","380.660","379.160","-0.13%"
"May 10, 2019","380.000","380.000","380.000","380.000","0.00%"
"May 09, 2019","380.000","380.000","380.000","379.500","0.01%"
"May 08, 2019","379.975","380.815","381.175","379.615","-0.27%"
"May 07, 2019","381.000","381.200","381.200","381.000","0.00%"
"May 06, 2019","381.000","381.060","381.460","379.960","0.03%"
"May 03, 2019","380.900","380.900","382.260","380.900","-0.12%"
"May 02, 2019","381.375","380.815","381.375","380.325","0.10%"
"May 01, 2019","381.000","381.200","381.200","380.900","0.02%"
"Apr 30, 2019","380.925","381.815","381.815","380.815","-0.20%"
"Apr 29, 2019","381.700","381.560","382.460","381.460","0.03%"
"Apr 26, 2019","381.600","380.560","382.360","378.200","0.37%"
"Apr 25, 2019","380.175","377.815","380.285","377.815","0.34%"
"Apr 24, 2019","378.880","377.810","379.180","377.680","0.18%"
"Apr 23, 2019","378.200","377.700","378.300","377.170","0.21%"
"Apr 22, 2019","377.400","378.570","379.020","376.870","-0.57%"
"Apr 19, 2019","379.550","379.350","379.770","378.720","0.07%"
"Apr 18, 2019","379.280","379.310","379.680","378.980","-0.03%"
"Apr 17, 2019","379.400","380.300","380.370","379.200","-0.15%"
"Apr 16, 2019","379.980","379.110","380.130","378.910","0.13%"
"Apr 15, 2019","379.500","379.570","380.420","379.400","0.01%"
"Apr 12, 2019","379.480","378.410","379.880","378.210","0.26%"
"Apr 11, 2019","378.480","378.180","378.480","377.680","-0.03%"
"Apr 10, 2019","378.600","380.120","380.270","378.600","-0.30%"
"Apr 09, 2019","379.730","380.910","380.930","379.210","-0.31%"
"Apr 08, 2019","380.900","380.070","381.370","380.070","0.33%"
"Apr 05, 2019","379.650","379.020","380.650","379.020","0.23%"
"Apr 04, 2019","378.780","378.980","379.080","377.680","-0.09%"
"Apr 03, 2019","379.130","379.680","379.680","379.080","-0.12%"
"Apr 02, 2019","379.580","379.680","379.930","379.380","-0.11%"
"Apr 01, 2019","379.980","380.880","381.180","379.780","0.11%"
"Mar 29, 2019","379.580","381.780","381.780","379.280","-0.58%"
"Mar 28, 2019","381.780","379.680","381.980","379.030","0.67%"
"Mar 27, 2019","379.230","378.180","379.230","377.580","0.28%"
"Mar 26, 2019","378.180","378.380","379.330","377.180","-0.05%"
"Mar 25, 2019","378.380","378.380","378.380","378.380","0.00%"
"Mar 22, 2019","378.380","378.380","378.380","378.380","0.00%"
"Mar 21, 2019","378.380","378.380","378.380","378.380","0.00%"
"Mar 20, 2019","378.380","377.180","378.720","377.180","0.50%"
"Mar 19, 2019","376.480","375.680","377.080","375.680","0.21%"
"Mar 18, 2019","375.680","378.180","378.180","375.080","-0.96%"
"Mar 15, 2019","379.330","377.780","380.080","377.680","0.36%"
"Mar 14, 2019","377.980","376.680","377.980","376.680","0.01%"
"Mar 13, 2019","377.930","377.680","378.180","377.680","-0.07%"
"Mar 12, 2019","378.180","379.180","379.180","377.780","-0.26%"
"Mar 11, 2019","379.180","379.680","379.980","378.630","0.13%"
"Mar 08, 2019","378.680","378.680","378.680","378.680","0.00%"
"Mar 07, 2019","378.680","378.430","380.030","378.430","0.07%"
"Mar 06, 2019","378.430","377.680","378.530","377.680","0.20%"
"Mar 05, 2019","377.680","376.680","378.280","376.230","0.29%"
"Mar 04, 2019","376.580","377.880","378.180","376.180","-0.24%"
"Mar 01, 2019","377.480","375.180","378.180","374.580","0.84%"
"Feb 28, 2019","374.330","376.680","377.180","374.080","-0.62%"
"Feb 27, 2019","376.680","378.680","378.680","376.480","-0.29%"
"Feb 26, 2019","377.780","377.180","378.680","377.180","0.40%"
"Feb 25, 2019","376.280","375.980","377.180","375.680","0.08%"
"Feb 22, 2019","375.980","376.180","378.630","375.780","0.08%"
"Feb 21, 2019","375.680","376.380","376.680","375.180","-0.19%"
"Feb 20, 2019","376.380","377.280","377.280","375.680","-0.36%"
"Feb 19, 2019","377.730","376.480","377.730","375.080","0.33%"
"Feb 18, 2019","376.480","375.680","377.180","375.180","-0.20%"
"Feb 15, 2019","377.230","377.980","378.180","377.180","-0.25%"
"Feb 14, 2019","378.180","374.880","378.580","374.880","0.85%"
"Feb 13, 2019","374.980","374.080","374.980","372.780","0.24%"
"Feb 12, 2019","374.080","375.180","376.180","373.580","-0.29%"
"Feb 11, 2019","375.180","377.530","377.530","374.680","-0.61%"
"Feb 08, 2019","377.480","378.980","380.680","376.980","-0.40%"
"Feb 07, 2019","378.980","378.180","379.430","376.280","0.48%"
"Feb 06, 2019","377.180","378.180","378.180","375.180","-0.08%"
"Feb 05, 2019","377.480","381.180","381.730","377.480","-1.11%"
"Feb 04, 2019","381.730","382.180","382.680","381.080","-0.34%"
"Feb 01, 2019","383.030","380.180","383.680","380.180","0.75%"
"Jan 31, 2019","380.180","380.180","381.030","378.180","-0.26%"
"Jan 30, 2019","381.180","379.680","381.280","379.180","0.29%"
"Jan 29, 2019","380.080","380.180","381.380","379.580","0.13%"
"Jan 28, 2019","379.580","379.180","379.980","377.630","0.03%"
"Jan 25, 2019","379.480","376.180","379.480","376.180","0.64%"
"Jan 24, 2019","377.080","378.180","378.380","377.080","-0.29%"
"Jan 23, 2019","378.180","379.180","379.180","378.180","-0.26%"
"Jan 22, 2019","379.180","378.780","379.330","377.680","0.11%"
"Jan 21, 2019","378.780","377.930","379.380","377.930","-0.26%"
"Jan 18, 2019","379.780","377.680","379.980","377.180","0.42%"
"Jan 17, 2019","378.180","377.180","378.180","375.680","0.03%"
"Jan 16, 2019","378.080","378.180","378.680","377.580","-0.16%"
"Jan 15, 2019","378.680","378.680","379.330","377.030","-0.16%"
"Jan 14, 2019","379.280","376.530","379.430","376.180","0.66%"
"Jan 11, 2019","376.780","375.380","376.780","374.880","0.40%"
"Jan 10, 2019","375.280","375.680","375.680","373.180","-0.11%"
"Jan 09, 2019","375.680","375.180","376.180","373.680","0.13%"
"Jan 08, 2019","375.180","375.980","375.980","372.180","-0.21%"
"Jan 07, 2019","375.980","375.980","375.980","375.980","0.00%"
"Jan 04, 2019","375.980","380.680","380.680","375.980","-1.29%"
"Jan 03, 2019","380.880","383.180","383.180","380.780","-0.90%"
"Jan 02, 2019","384.330","384.330","384.330","384.330","0.00%"
"Jan 01, 2019","384.330","384.330","384.330","384.330","0.00%"
"Dec 31, 2018","384.330","384.330","384.330","384.330","0.00%"
"Dec 29, 2018","384.330","384.330","384.330","384.330","0.87%"
"Dec 28, 2018","381.030","378.830","382.330","377.630","0.94%"
"Dec 27, 2018","377.480","375.180","377.680","373.480","0.48%"
"Dec 26, 2018","375.680","372.180","375.880","371.630","0.98%"
"Dec 25, 2018","372.030","371.080","372.680","370.480","0.26%"
"Dec 24, 2018","371.080","371.680","373.180","370.680","-0.16%"
"Dec 21, 2018","371.680","371.680","373.180","370.180","0.43%"
"Dec 20, 2018","370.080","371.180","371.680","370.080","-0.30%"
"Dec 19, 2018","371.180","372.180","373.680","371.180","0.05%"
"Dec 18, 2018","370.980","370.980","370.980","370.980","0.00%"
"Dec 17, 2018","370.980","370.980","370.980","370.980","0.00%"
"Dec 14, 2018","370.980","370.180","371.780","370.180","0.22%"
"Dec 13, 2018","370.180","370.180","370.480","369.880","0.00%"
"Dec 12, 2018","370.180","370.530","370.530","369.680","-0.09%"
"Dec 11, 2018","370.530","370.680","371.030","369.730","0.22%"
"Dec 10, 2018","369.730","369.530","370.180","369.080","-0.24%"
"Dec 07, 2018","370.630","371.180","371.330","370.030","-0.15%"
"Dec 06, 2018","371.180","370.680","371.180","369.130","0.15%"
"Dec 05, 2018","370.630","371.180","372.580","370.380","0.07%"
"Dec 04, 2018","370.380","373.380","373.380","370.380","-0.80%"
"Dec 03, 2018","373.380","373.380","373.380","373.380","0.00%"
"Nov 30, 2018","373.380","371.180","373.680","369.380","0.59%"
"Nov 29, 2018","371.180","373.680","373.680","370.430","-0.67%"
"Nov 28, 2018","373.680","373.680","373.680","372.180","0.21%"
"Nov 27, 2018","372.880","373.480","374.680","372.180","-0.08%"
"Nov 26, 2018","373.180","366.180","373.180","366.180","1.91%"
"Nov 23, 2018","366.180","367.680","367.980","365.380","-0.27%"
"Nov 22, 2018","367.180","367.680","368.180","366.780","-0.35%"
"Nov 21, 2018","368.480","367.180","369.080","367.180","0.57%"
"Nov 20, 2018","366.380","365.180","366.980","363.880","-0.19%"
"Nov 19, 2018","367.080","369.680","369.680","366.980","-0.70%"
"Nov 16, 2018","369.680","366.680","370.000","364.980","0.27%"
"Nov 15, 2018","368.680","373.680","373.680","366.480","-1.72%"
"Nov 14, 2018","375.130","374.830","376.680","374.830","0.08%"
"Nov 13, 2018","374.830","374.180","374.980","373.830","0.17%"
"Nov 12, 2018","374.180","373.180","375.080","373.180","0.27%"
"Nov 09, 2018","373.180","372.680","373.680","370.680","0.67%"
"Nov 08, 2018","370.680","371.680","372.180","370.280","0.00%"
"Nov 07, 2018","370.680","371.680","371.980","370.580","-0.03%"
"Nov 06, 2018","370.780","371.680","371.680","370.030","-0.38%"
"Nov 05, 2018","372.180","371.580","372.880","371.580","0.30%"
"Nov 02, 2018","371.080","370.680","372.180","370.430","0.11%"
"Nov 01, 2018","370.680","370.180","371.080","370.180","0.14%"
"Oct 31, 2018","370.180","368.680","370.180","368.180","0.35%"
"Oct 30, 2018","368.880","368.680","369.030","368.180","0.33%"
"Oct 29, 2018","367.680","368.680","369.280","367.680","-0.27%"
"Oct 26, 2018","368.680","367.830","369.280","367.680","0.19%"
"Oct 25, 2018","367.980","366.580","367.980","366.580","0.38%"
"Oct 24, 2018","366.580","363.080","367.280","363.080","0.96%"
"Oct 23, 2018","363.080","363.880","363.880","360.480","-0.44%"
"Oct 22, 2018","364.680","365.880","366.480","364.330","-0.33%"
"Oct 19, 2018","365.880","365.930","367.480","364.480","0.38%"
"Oct 18, 2018","364.480","363.680","365.480","363.080","0.41%"
"Oct 17, 2018","362.980","366.180","366.180","362.280","-0.98%"
"Oct 16, 2018","366.555","368.285","368.285","365.635","-0.44%"
"Oct 15, 2018","368.180","370.180","371.380","367.880","-0.67%"
"Oct 12, 2018","370.680","371.180","371.280","369.080","-0.13%"
"Oct 11, 2018","371.180","368.180","373.580","368.180","0.95%"
"Oct 10, 2018","367.680","371.480","371.980","367.680","-1.16%"
"Oct 09, 2018","371.980","372.180","372.880","371.380","-0.24%"
"Oct 08, 2018","372.880","371.180","373.980","371.180","0.32%"
"Oct 05, 2018","371.680","368.180","374.910","368.180","0.95%"
"Oct 04, 2018","368.180","365.680","368.180","365.180","0.88%"
"Oct 03, 2018","364.980","363.180","365.080","362.980","0.43%"
"Oct 02, 2018","363.430","363.980","364.380","357.670","-0.29%"
"Oct 01, 2018","364.480","363.180","365.180","362.680","0.36%"
"Sep 28, 2018","363.180","361.880","364.130","360.180","0.36%"
"Sep 27, 2018","361.880","361.180","362.380","360.480","0.39%"
"Sep 26, 2018","360.480","357.170","360.480","356.170","0.93%"
"Sep 25, 2018","357.175","354.175","357.875","353.075","0.82%"
"Sep 24, 2018","354.270","356.120","357.320","353.080","-0.52%"
"Sep 21, 2018","356.115","356.415","356.615","349.115","-0.06%"
"Sep 20, 2018","356.325","360.135","360.335","356.025","-1.47%"
"Sep 19, 2018","361.630","367.130","367.130","360.380","-1.50%"
"Sep 18, 2018","367.120","371.620","371.620","367.120","-1.11%"
"Sep 17, 2018","371.230","371.130","373.130","371.130","0.03%"
"Sep 14, 2018","371.130","374.130","374.680","371.130","-0.80%"
"Sep 13, 2018","374.130","376.130","377.430","374.130","-0.87%"
"Sep 12, 2018","377.430","380.630","380.630","377.230","-0.84%"
"Sep 11, 2018","380.630","380.110","381.480","379.430","0.26%"
"Sep 10, 2018","379.630","377.130","380.330","377.130","1.00%"
"Sep 07, 2018","375.880","376.630","376.630","374.680","-0.20%"
"Sep 06, 2018","376.630","371.130","376.630","371.130","1.45%"
"Sep 05, 2018","371.230","368.530","371.230","368.130","0.71%"
"Sep 04, 2018","368.610","366.130","368.630","366.130","0.74%"
"Sep 03, 2018","365.910","363.270","366.070","363.270","0.63%"
"Aug 31, 2018","363.630","363.630","363.630","363.630","0.00%"
"Aug 30, 2018","363.630","363.630","363.630","363.630","0.00%"
"Aug 29, 2018","363.630","362.330","364.160","362.330","0.48%"
"Aug 28, 2018","361.880","361.420","361.920","361.070","0.28%"
"Aug 27, 2018","360.880","360.430","362.080","359.120","0.03%"
"Aug 24, 2018","360.780","361.130","361.130","360.380","0.07%"
"Aug 23, 2018","360.530","360.630","362.630","360.530","-0.30%"
"Aug 22, 2018","361.630","361.130","362.880","360.030","0.11%"
"Aug 21, 2018","361.230","361.230","361.230","361.230","0.00%"
"Aug 20, 2018","361.230","361.430","361.430","360.130","-0.06%"
"Aug 17, 2018","361.430","360.330","361.500","359.120","0.31%"
"Aug 16, 2018","360.320","362.220","363.120","360.170","-0.39%"
"Aug 15, 2018","361.720","363.120","363.120","360.920","-0.39%"
"Aug 14, 2018","363.120","363.920","364.120","362.220","-0.22%"
"Aug 13, 2018","363.920","359.210","363.920","359.110","1.88%"
"Aug 10, 2018","357.215","355.715","357.415","355.665","0.44%"
"Aug 09, 2018","355.660","351.110","355.960","350.610","1.30%"
"Aug 08, 2018","351.110","349.110","351.110","348.110","0.69%"
"Aug 07, 2018","348.710","348.910","349.310","348.110","-0.06%"
"Aug 06, 2018","348.910","350.110","350.110","348.410","-0.17%"
"Aug 03, 2018","349.510","350.210","350.620","349.460","-0.20%"
"Aug 02, 2018","350.210","349.110","350.250","349.010","0.34%"
"Aug 01, 2018","349.010","347.410","349.010","347.410","0.46%"
"Jul 31, 2018","347.405","346.605","347.525","345.605","0.23%"
"Jul 30, 2018","346.605","346.905","347.405","346.105","-0.10%"
"Jul 27, 2018","346.960","346.210","346.960","345.810","0.21%"
"Jul 26, 2018","346.220","345.520","346.330","345.120","0.01%"
"Jul 25, 2018","346.170","345.270","346.670","345.270","0.26%"
"Jul 24, 2018","345.270","345.520","345.520","344.620","-0.07%"
"Jul 23, 2018","345.520","346.620","346.620","345.270","-0.31%"
"Jul 20, 2018","346.595","346.145","346.995","345.745","0.12%"
"Jul 19, 2018","346.170","345.020","346.220","344.820","0.33%"
"Jul 18, 2018","345.020","343.620","345.090","343.420","0.41%"
"Jul 17, 2018","343.620","343.120","343.730","342.520","0.32%"
"Jul 16, 2018","342.520","342.620","343.620","342.120","-0.02%"
"Jul 13, 2018","342.595","344.445","344.445","341.995","-0.54%"
"Jul 12, 2018","344.470","344.120","344.630","344.120","0.16%"
"Jul 11, 2018","343.920","342.820","344.400","342.320","0.32%"
"Jul 10, 2018","342.820","344.020","344.020","342.820","-0.34%"
"Jul 09, 2018","343.995","343.565","344.045","343.095","0.06%"
"Jul 06, 2018","343.795","343.795","343.795","343.795","0.00%"
"Jul 05, 2018","343.795","343.195","343.795","343.095","0.17%"
"Jul 04, 2018","343.210","342.610","343.270","342.610","0.06%"
"Jul 03, 2018","343.010","342.110","343.370","342.110","0.41%"
"Jul 02, 2018","341.610","341.360","342.060","341.010","0.07%"
"Jun 29, 2018","341.360","341.010","341.600","339.980","0.10%"
"Jun 28, 2018","341.010","341.110","341.830","340.180","-0.03%"
"Jun 27, 2018","341.110","339.610","341.210","339.480","0.47%"
"Jun 26, 2018","339.530","339.110","339.600","338.480","0.06%"
"Jun 25, 2018","339.310","339.850","340.010","338.950","-0.21%"
"Jun 22, 2018","340.010","341.560","341.560","339.350","-0.45%"
"Jun 21, 2018","341.560","340.650","341.580","340.560","0.27%"
"Jun 20, 2018","340.650","341.210","341.410","340.110","-0.16%"
"Jun 19, 2018","341.210","339.810","341.210","338.350","0.41%"
"Jun 18, 2018","339.810","336.760","339.810","336.180","0.91%"
"Jun 15, 2018","336.750","335.860","336.780","335.750","0.26%"
"Jun 14, 2018","335.860","335.110","336.310","335.110","-0.07%"
"Jun 13, 2018","336.110","334.310","336.310","334.310","0.45%"
"Jun 12, 2018","334.590","334.610","334.900","334.050","0.16%"
"Jun 11, 2018","334.045","334.435","334.435","333.335","-0.12%"
"Jun 08, 2018","334.435","333.585","334.595","333.585","0.20%"
"Jun 07, 2018","333.755","332.095","333.755","330.995","0.50%"
"Jun 06, 2018","332.095","330.995","332.445","330.995","0.06%"
"Jun 05, 2018","331.895","330.995","331.935","330.135","0.21%"
"Jun 04, 2018","331.205","331.035","331.205","330.075","0.06%"
"Jun 01, 2018","330.995","330.095","331.095","329.665","0.47%"
"May 31, 2018","329.445","329.095","329.815","328.175","-0.20%"
"May 30, 2018","330.105","330.635","331.205","329.635","0.06%"
"May 29, 2018","329.905","329.785","330.305","328.405","0.05%"
"May 28, 2018","329.745","328.035","330.165","328.035","0.47%"
"May 25, 2018","328.205","326.035","328.785","325.995","0.68%"
"May 24, 2018","325.995","326.445","326.445","325.155","-0.09%"
"May 23, 2018","326.295","327.595","327.595","325.095","-0.13%"
"May 22, 2018","326.725","329.345","329.635","326.245","-0.78%"
"May 21, 2018","329.295","328.535","329.585","328.095","0.15%"
"May 18, 2018","328.795","327.685","328.965","327.685","0.29%"
"May 17, 2018","327.855","329.425","329.555","326.295","-0.38%"
"May 16, 2018","329.095","328.135","329.635","328.135","0.24%"
"May 15, 2018","328.295","327.095","328.365","326.155","0.05%"
"May 14, 2018","328.145","327.865","328.415","327.095","0.32%"
"May 11, 2018","327.095","326.095","327.865","325.355","0.00%"
"May 10, 2018","327.095","329.595","329.595","326.735","-0.76%"
"May 09, 2018","329.595","329.595","329.595","329.595","0.00%"
"May 08, 2018","329.595","329.595","329.595","329.595","0.00%"
"May 07, 2018","329.595","329.595","329.595","329.595","0.00%"
"May 04, 2018","329.595","329.995","330.235","328.435","-0.12%"
"May 03, 2018","329.995","331.095","331.495","329.535","-0.18%"
"May 02, 2018","330.595","327.635","330.635","327.495","0.95%"
"May 01, 2018","327.495","327.495","327.495","327.495","0.00%"
"Apr 30, 2018","327.495","327.495","327.495","327.495","-0.00%"
"Apr 27, 2018","327.500","328.450","328.450","327.300","-0.24%"
"Apr 26, 2018","328.295","326.095","328.535","326.095","0.67%"
"Apr 25, 2018","326.095","326.095","327.085","325.015","-0.03%"
"Apr 24, 2018","326.195","327.595","327.595","325.235","-0.55%"
"Apr 23, 2018","327.995","326.395","327.995","325.535","0.44%"
"Apr 20, 2018","326.545","325.585","326.545","325.585","0.29%"
"Apr 19, 2018","325.595","328.145","328.145","325.485","-0.78%"
"Apr 18, 2018","328.145","328.595","328.595","327.395","-0.14%"
"Apr 17, 2018","328.595","329.295","329.885","327.615","-0.21%"
"Apr 16, 2018","329.295","327.085","330.705","327.085","0.70%"
"Apr 13, 2018","326.995","328.485","328.485","326.535","-0.46%"
"Apr 12, 2018","328.500","330.110","330.910","327.510","-0.66%"
"Apr 11, 2018","330.675","329.685","332.175","329.625","0.94%"
"Apr 10, 2018","327.585","322.195","329.195","322.195","1.70%"
"Apr 09, 2018","322.095","320.095","322.095","319.715","0.78%"
"Apr 06, 2018","319.615","319.895","319.935","319.385","-0.03%"
"Apr 05, 2018","319.695","319.995","319.995","319.435","-0.14%"
"Apr 04, 2018","320.145","320.445","320.445","319.465","-0.10%"
"Apr 03, 2018","320.450","319.610","320.650","319.610","0.27%"
"Apr 02, 2018","319.585","318.825","319.635","318.575","0.15%"
"Mar 30, 2018","319.095","319.135","319.135","318.035","-0.02%"
"Mar 29, 2018","319.150","320.110","320.110","318.730","-0.01%"
"Mar 28, 2018","319.195","318.695","319.635","318.695","0.16%"
"Mar 27, 2018","318.695","319.395","319.595","318.685","-0.22%"
"Mar 26, 2018","319.395","320.735","320.995","318.535","-0.45%"
"Mar 23, 2018","320.850","320.850","320.850","320.850","0.00%"
"Mar 22, 2018","320.850","320.850","320.850","320.850","0.00%"
"Mar 21, 2018","320.850","320.850","320.850","320.850","0.00%"
"Mar 20, 2018","320.850","320.610","321.250","319.950","0.11%"
"Mar 19, 2018","320.495","322.695","322.695","319.935","-0.67%"
"Mar 16, 2018","322.645","321.895","323.095","321.895","0.23%"
"Mar 15, 2018","321.895","322.095","322.695","321.235","-0.06%"
"Mar 14, 2018","322.095","321.395","322.395","321.395","0.22%"
"Mar 13, 2018","321.395","320.935","321.815","320.935","0.06%"
"Mar 12, 2018","321.200","320.600","321.200","319.740","0.09%"
"Mar 09, 2018","320.900","320.900","320.900","320.900","0.00%"
"Mar 08, 2018","320.900","320.900","320.900","320.900","0.00%"
"Mar 07, 2018","320.900","319.200","321.100","319.140","0.53%"
"Mar 06, 2018","319.200","321.000","321.000","319.140","-0.56%"
"Mar 05, 2018","321.000","321.740","322.850","320.800","-0.42%"
"Mar 02, 2018","322.370","321.850","322.830","321.850","0.16%"
"Mar 01, 2018","321.870","320.600","321.870","320.600","0.44%"
"Feb 28, 2018","320.450","319.100","320.540","319.100","0.45%"
"Feb 27, 2018","319.000","319.190","319.250","318.400","-0.08%"
"Feb 26, 2018","319.250","319.550","320.000","318.540","-0.23%"
"Feb 23, 2018","320.000","320.450","320.450","318.820","-0.14%"
"Feb 22, 2018","320.450","319.400","320.450","319.340","0.31%"
"Feb 21, 2018","319.470","320.150","320.300","319.100","-0.21%"
"Feb 20, 2018","320.150","319.100","320.150","318.590","0.25%"
"Feb 19, 2018","319.350","319.610","319.610","318.600","-0.09%"
"Feb 16, 2018","319.650","319.100","319.940","319.040","-0.19%"
"Feb 15, 2018","320.250","321.600","321.600","320.030","-0.76%"
"Feb 14, 2018","322.700","323.300","323.300","322.040","-0.34%"
"Feb 13, 2018","323.800","325.300","325.740","323.100","-0.52%"
"Feb 12, 2018","325.500","327.510","329.100","325.500","-0.62%"
"Feb 09, 2018","327.535","326.025","327.625","326.025","0.47%"
"Feb 08, 2018","326.000","324.400","326.100","324.100","0.77%"
"Feb 07, 2018","323.500","323.800","324.130","323.340","-0.19%"
"Feb 06, 2018","324.100","323.600","324.550","323.100","0.54%"
"Feb 05, 2018","322.375","322.585","322.825","322.025","0.10%"
"Feb 02, 2018","322.050","322.100","322.300","321.290","-0.12%"
"Feb 01, 2018","322.450","323.000","323.040","322.340","-0.22%"
"Jan 31, 2018","323.150","322.300","323.200","322.300","0.44%"
"Jan 30, 2018","321.750","322.600","322.940","321.750","-0.16%"
"Jan 29, 2018","322.250","321.350","322.550","321.100","0.28%"
"Jan 26, 2018","321.350","320.150","321.380","319.600","0.37%"
"Jan 25, 2018","320.150","321.000","321.000","319.380","-0.26%"
"Jan 24, 2018","321.000","322.540","322.550","320.540","-0.48%"
"Jan 23, 2018","322.540","324.250","324.300","322.520","-0.53%"
"Jan 22, 2018","324.250","324.740","325.950","323.940","-0.15%"
"Jan 19, 2018","324.750","324.510","324.910","323.470","0.08%"
"Jan 18, 2018","324.500","326.200","326.600","324.500","-0.53%"
"Jan 17, 2018","326.215","327.715","328.055","325.615","-0.44%"
"Jan 16, 2018","327.650","329.030","329.250","327.310","-0.42%"
"Jan 15, 2018","329.020","329.590","329.750","329.020","-0.12%"
"Jan 12, 2018","329.425","329.875","330.075","329.225","-0.23%"
"Jan 11, 2018","330.180","330.490","331.090","330.120","-0.07%"
"Jan 10, 2018","330.410","330.770","330.840","330.190","-0.11%"
"Jan 09, 2018","330.760","330.200","330.760","330.030","0.17%"
"Jan 08, 2018","330.210","330.080","330.840","329.960","0.10%"
"Jan 05, 2018","329.875","332.095","332.095","329.865","-0.67%"
"Jan 04, 2018","332.085","333.285","333.285","331.565","-0.35%"
"Jan 03, 2018","333.260","332.540","333.750","332.540","0.14%"
"Jan 02, 2018","332.805","332.805","332.805","332.805","0.00%"
"Jan 01, 2018","332.805","332.805","332.805","332.805","0.00%"
"Dec 29, 2017","332.805","331.075","332.805","331.075","0.52%"
"Dec 28, 2017","331.085","331.825","332.085","330.665","-0.25%"
"Dec 27, 2017","331.905","332.595","332.865","330.805","-0.21%"
"Dec 26, 2017","332.600","333.870","333.870","332.050","-0.36%"
"Dec 25, 2017","333.805","332.905","333.805","332.585","0.32%"
"Dec 22, 2017","332.750","334.170","334.170","332.450","-0.45%"
"Dec 21, 2017","334.250","335.850","335.920","333.270","-0.48%"
"Dec 20, 2017","335.875","334.645","336.035","334.645","0.07%"
"Dec 19, 2017","335.645","335.645","335.645","335.645","0.00%"
"Dec 18, 2017","335.645","335.645","335.645","335.645","0.00%"
"Dec 15, 2017","335.645","335.255","335.925","334.625","0.12%"
"Dec 14, 2017","335.250","335.510","335.510","334.110","-0.07%"
"Dec 13, 2017","335.480","334.720","335.590","334.720","0.23%"
"Dec 12, 2017","334.725","335.475","335.475","334.425","-0.22%"
"Dec 11, 2017","335.475","334.895","335.775","334.525","0.19%"
"Dec 08, 2017","334.850","334.500","335.120","334.050","0.12%"
"Dec 07, 2017","334.450","333.980","335.150","333.980","0.15%"
"Dec 06, 2017","333.960","333.190","334.430","332.930","0.23%"
"Dec 05, 2017","333.200","332.850","333.200","332.740","0.11%"
"Dec 04, 2017","332.850","331.900","333.100","331.900","0.48%"
"Dec 01, 2017","331.275","331.275","331.275","331.275","0.00%"
"Nov 30, 2017","331.275","331.085","332.025","330.525","0.05%"
"Nov 29, 2017","331.100","331.640","332.130","330.540","-0.17%"
"Nov 28, 2017","331.655","330.955","331.965","330.955","0.22%"
"Nov 27, 2017","330.925","330.485","331.235","330.425","0.19%"
"Nov 24, 2017","330.300","330.010","330.730","330.010","0.09%"
"Nov 23, 2017","330.000","330.000","330.240","329.100","0.00%"
"Nov 22, 2017","330.000","330.450","330.450","330.000","-0.15%"
"Nov 21, 2017","330.505","330.945","330.945","330.155","-0.14%"
"Nov 20, 2017","330.975","332.055","332.055","330.475","-0.28%"
"Nov 17, 2017","331.920","332.340","332.460","331.920","-0.11%"
"Nov 16, 2017","332.300","332.800","332.840","332.130","-0.15%"
"Nov 15, 2017","332.800","332.440","333.340","331.990","0.10%"
"Nov 14, 2017","332.475","333.135","333.325","332.275","-0.19%"
"Nov 13, 2017","333.100","333.800","333.800","332.440","0.09%"
"Nov 10, 2017","332.800","333.100","333.100","332.440","-0.09%"
"Nov 09, 2017","333.100","333.260","333.870","332.750","-0.05%"
"Nov 08, 2017","333.260","333.700","333.990","333.140","-0.13%"
"Nov 07, 2017","333.700","333.730","333.730","332.300","-0.02%"
"Nov 06, 2017","333.770","334.350","335.150","333.770","-0.16%"
